group,seg_id_mp,asset_id_mp,use_mp,category_id_mp,port_defn_mp,sale_class_mp,issue_date_mp,maturity_date_mp,planned_sale_date_mp,init_par_val_mp,init_cost_basis_mp,init_bk_val_mp,init_mkt_val_mp,pmt_mode_mp,init_pmt_rate_mp,par_val_at_issue_mp,taxable_pct_mp,call_opt_first_date_mp,call_price_defn_mp,call_defn_mp,yld_maint_addn_mp,put_opt_first_date_mp,put_defn_mp,sinking_fund_defn_mp,adj_reset_category_id_mp,adj_reset_scen_yr_mp,adj_reset_scen_mult_mp,adj_reset_renewal_addn_mp,adj_next_reset_date_mp,adj_reset_mths_mp,adj_max_incr_per_reset_mp,adj_max_decr_per_reset_mp,adj_min_rate_mp,adj_max_rate_mp,avr_contribn_pct_mp,avr_max_pct_mp,avr_obj_pct_mp,rbc_c1_pct_mp
bond,Seg,BNDAA1001,No,A,Investment,Available for Sale,8/15/1996,8/15/2026,1/1/9999,10000000,10415545,10415545,9693200,Semi-Annual,0.07625,0,1,1/1/9999,Price Schedule,Not Applicable,0,1/1/9999,Not Applicable,No,Govt,0.25,0,0,1/1/9999,1,0,0,0,0,0,0.01,0,0.003
bond,Seg,BNDAA1001,No,A,Investment,Available for Sale,12/15/2007,1/16/2018,1/1/9999,1000000,995443,995443,820530,Semi-Annual,0.0585,0,1,1/1/9999,Price Schedule,Not Applicable,0,1/1/9999,Not Applicable,No,Govt,0.25,0,0,1/1/9999,1,0,0,0,0,0,0.01,0,0.003
bond,Seg,BNDAA1001,No,BAA,Investment,Available for Sale,3/15/2003,4/1/2018,1/1/9999,6000000,5962040,5962040,5667240,Semi-Annual,0.045,0,1,1/1/9999,Price Schedule,Not Applicable,0,1/1/9999,Not Applicable,No,Govt,0.25,0,0,1/1/9999,1,0,0,0,0,0,0.01,0,0.003
bond,Seg,BNDAA1001,No,A,Investment,Available for Sale,3/15/1997,3/15/2027,1/1/9999,5000000,5473359,5473359,5868250,Semi-Annual,0.075,0,1,1/1/9999,Price Schedule,Not Applicable,0,1/1/9999,Not Applicable,No,Govt,0.25,0,0,1/1/9999,1,0,0,0,0,0,0.01,0,0.003
bond,Seg,BNDAA1001,No,A,Investment,Available for Sale,2/15/2001,2/1/2031,1/1/9999,10000000,10004918,10004918,11395100,Semi-Annual,0.07,0,1,1/1/9999,Price Schedule,Not Applicable,0,1/1/9999,Not Applicable,No,Govt,0.25,0,0,1/1/9999,1,0,0,0,0,0,0.01,0,0.003
bond,Seg,BNDAA1001,No,A,Investment,Available for Sale,10/15/1998,11/1/2018,1/1/9999,3511000,3925897,3925897,3549972,Semi-Annual,0.0695,0,1,1/1/9999,Price Schedule,Not Applicable,0,1/1/9999,Not Applicable,No,Govt,0.25,0,0,1/1/9999,1,0,0,0,0,0,0.01,0,0.003
bond,Seg,BNDAA1001,No,A,Investment,Available for Sale,6/15/2003,7/15/2018,1/1/9999,2000000,1827664,1827664,1935860,Semi-Annual,0.042,0,1,1/1/9999,Price Schedule,Not Applicable,0,1/1/9999,Not Applicable,No,Govt,0.25,0,0,1/1/9999,1,0,0,0,0,0,0.01,0,0.003
bond,Seg,BNDAA1001,No,A,Investment,Available for Sale,2/15/2003,3/1/2017,1/1/9999,3000000,2971389,2971389,3019950,Semi-Annual,0.0475,0,1,1/1/9999,Price Schedule,Not Applicable,0,1/1/9999,Not Applicable,No,Govt,0.25,0,0,1/1/9999,1,0,0,0,0,0,0.01,0,0.003
bond,Seg,BNDAA1001,No,AA,Investment,Available for Sale,7/15/2005,7/15/2035,1/1/9999,2000000,1997315,1997315,1926500,Semi-Annual,0.0525,0,1,1/1/9999,Price Schedule,Not Applicable,0,1/1/9999,Not Applicable,No,Govt,0.25,0,0,1/1/9999,1,0,0,0,0,0,0.01,0,0.003
bond,Seg,BNDAA1001,No,A,Investment,Available for Sale,4/15/2004,4/15/2014,1/1/9999,5000000,4930312,4930312,5245000,Semi-Annual,0.04375,0,1,1/1/9999,Price Schedule,Not Applicable,0,1/1/9999,Not Applicable,No,Govt,0.25,0,0,1/1/9999,1,0,0,0,0,0,0.01,0,0.003
bond,Seg,BNDAA1001,No,AA,Investment,Available for Sale,9/15/2002,8/15/2016,1/1/9999,5000000,5028392,5028392,5220400,Semi-Annual,0.0475,0,1,1/1/9999,Price Schedule,Not Applicable,0,1/1/9999,Not Applicable,No,Govt,0.25,0,0,1/1/9999,1,0,0,0,0,0,0.01,0,0.003
bond,Seg,BNDAA1001,No,A,Investment,Available for Sale,1/15/2002,8/15/2015,1/1/9999,5000000,5100840,5100840,5435700,Semi-Annual,0.066,0,1,1/1/9999,Price Schedule,Not Applicable,0,1/1/9999,Not Applicable,No,Govt,0.25,0,0,1/1/9999,1,0,0,0,0,0,0.01,0,0.003
bond,Seg,BNDAA1001,No,A,Investment,Available for Sale,8/15/1997,1/15/2014,1/1/9999,2500000,2641249,2641249,2786600,Semi-Annual,0.0695,0,1,1/1/9999,Price Schedule,Not Applicable,0,1/1/9999,Not Applicable,No,Govt,0.25,0,0,1/1/9999,1,0,0,0,0,0,0.01,0,0.003
bond,Seg,BNDAA1001,No,A,Investment,Available for Sale,11/15/2002,11/29/2032,1/1/9999,5000000,5249267,5249267,5130200,Semi-Annual,0.05875,0,1,1/1/9999,Price Schedule,Not Applicable,0,1/1/9999,Not Applicable,No,Govt,0.25,0,0,1/1/9999,1,0,0,0,0,0,0.01,0,0.003
bond,Seg,BNDAA1001,No,A,Investment,Available for Sale,11/15/2005,11/30/2035,1/1/9999,5000000,4972842,4972842,5028700,Semi-Annual,0.056,0,1,1/1/9999,Price Schedule,Not Applicable,0,1/1/9999,Not Applicable,No,Govt,0.25,0,0,1/1/9999,1,0,0,0,0,0,0.01,0,0.003
bond,Seg,BNDAA1001,No,AAA,Investment,Available for Sale,8/15/2007,8/15/2037,1/1/9999,2000000,2090588,2090588,2199660,Semi-Annual,0.0595,0,1,1/1/9999,Price Schedule,Not Applicable,0,1/1/9999,Not Applicable,No,Govt,0.25,0,0,1/1/9999,1,0,0,0,0,0,0.01,0,0.003
bond,Seg,BNDAA1001,No,FNMA,Investment,Available for Sale,6/15/2005,6/15/2035,1/1/9999,5000000,4994073,4994073,4471100,Semi-Annual,0.0465,0,1,1/1/9999,Price Schedule,Not Applicable,0,1/1/9999,Not Applicable,No,Govt,0.25,0,0,1/1/9999,1,0,0,0,0,0,0.01,0,0.003
bond,Seg,BNDAA1001,No,Govt,Investment,Available for Sale,8/15/2005,8/31/2015,1/1/9999,100000,99935,99935,100051,Semi-Annual,0.01,0,1,1/1/9999,Price Schedule,Not Applicable,0,1/1/9999,Not Applicable,No,Govt,0.25,0,0,1/1/9999,1,0,0,0,0,0,0.01,0,0.003
bond,Seg,BNDAA1001,No,Govt,Investment,Available for Sale,11/15/1986,11/15/2016,1/1/9999,1380000,944616,944616,1085177,Semi-Annual,0,0,1,1/1/9999,Price Schedule,Not Applicable,0,1/1/9999,Not Applicable,No,Govt,0.25,0,0,1/1/9999,1,0,0,0,0,0,0.01,0,0.003
