group,seg_id,mp_id,use_mp,plan_code,broker_aig,gmwb_type_aig,hiloband_aig,LifeType,crediting_type_aig,stat_valn_code,tax_valn_code,issue_age_male_aig,issue_age_female_aig,gender_mp,male_sex_pct,single_prem,reins_pct,init_policies,init_policies_joint_aig,init_policies_male_aig,init_policies_female_aig,init_contract_val,host_accrual_rate,init_host_val,init_hedge_budget,gmwb_ind,gmwb_dth_ben_ind_aig,gmwb_exercise_yrs,init_gmwb_fund_val,init_gmwb_prem,init_gmwb_max_wdl_amt,gmwb_sfas133_req_prof_chg,init_withdrl_cumul,init_pfwd_curr_pol_yr,init_pfwd_entitlement,init_fund_val_fixed,init_fund_val_index0,init_fund_val_index1,init_fund_val_index2,init_fund_val_index3,init_fund_val_index4,init_rebal_pct_fixed,init_rebal_pct_index0,init_rebal_pct_index1,init_rebal_pct_index2,init_rebal_pct_index3,init_rebal_pct_index4,init_comm_subject_to_chargeback,init_stat_res_carvm,init_tax_res_carvm,preincome_exercise_yrs_aig,prop_female_owned_aig,prop_male_owned_aig,prop_joint_owned_aig
13,Seg,BI1RMN01513-001,Yes,MSG13,ANN,LIPM,H,S,MS1PRt,1994USMgdbAlb,1994USMgdbAlb,50,50,Male,1,18750,0,0.15,1,0,0,0,0,15000,0,1,1,0,18750,18750,0,0,0,0,0,0,18750,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
13,Seg,BI1RMN01513-002,Yes,MSG13,ANN,LIPM,H,S,MS1PRt,1994USMgdbAlb,1994USMgdbAlb,55,55,Male,1,42000,0,0.336,1,0,0,0,0,33600,0,1,1,0,42000,42000,0,0,0,0,0,0,42000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
13,Seg,BI1RMN01513-003,Yes,MSG13,ANN,LIPM,H,S,MS1PRt,1994USMgdbAlb,1994USMgdbAlb,60,60,Male,1,71500,0,0.572,1,0,0,0,0,57200,0,1,1,0,71500,71500,0,0,0,0,0,0,71500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
13,Seg,BI1RMN01513-004,Yes,MSG13,ANN,LIPM,H,S,MS1PRt,1994USMgdbAlb,1994USMgdbAlb,65,65,Male,1,57750,0,0.462,1,0,0,0,0,46200,0,1,1,0,57750,57750,0,0,0,0,0,0,57750,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
13,Seg,BI1RMN01513-005,Yes,MSG13,ANN,LIPM,H,S,MS1PRt,1994USMgdbAlb,1994USMgdbAlb,70,70,Male,1,27500,0,0.22,1,0,0,0,0,22000,0,1,1,0,27500,27500,0,0,0,0,0,0,27500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
13,Seg,BI1RMN01513-006,Yes,MSG13,ANN,LIPM,H,S,MS1PRt,1994USMgdbAlb,1994USMgdbAlb,75,75,Male,1,5500,0,0.044,1,0,0,0,0,4400,0,1,1,0,5500,5500,0,0,0,0,0,0,5500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
13,Seg,BI1RMN01513-007,Yes,MSG13,ANN,LIPM,H,S,MS1PRt,1994USMgdbAlb,1994USMgdbAlb,45,45,Male,1,6250,0,0.05,1,0,0,0,0,5000,0,1,1,5,6250,6250,0,0,0,0,0,0,6250,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
13,Seg,BI1RMN01513-008,Yes,MSG13,ANN,LIPM,H,S,MS1PRt,1994USMgdbAlb,1994USMgdbAlb,50,50,Male,1,26250,0,0.21,1,0,0,0,0,21000,0,1,1,5,26250,26250,0,0,0,0,0,0,26250,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
13,Seg,BI1RMN01513-009,Yes,MSG13,ANN,LIPM,H,S,MS1PRt,1994USMgdbAlb,1994USMgdbAlb,55,55,Male,1,21000,0,0.168,1,0,0,0,0,16800,0,1,1,5,21000,21000,0,0,0,0,0,0,21000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
13,Seg,BI1RMN01513-010,Yes,MSG13,ANN,LIPM,H,S,MS1PRt,1994USMgdbAlb,1994USMgdbAlb,60,60,Male,1,32500,0,0.26,1,0,0,0,0,26000,0,1,1,5,32500,32500,0,0,0,0,0,0,32500,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
