group,seg_id,mp_id,use_mp,plan_code,broker_aig,gmwb_type_aig,hiloband_aig,crediting_type_aig,stat_valn_code,tax_valn_code,issue_age_male_aig,issue_age_female_aig,gender_mp,male_sex_pct,single_prem,reins_pct,init_policies,init_policies_joint_aig,init_policies_male_aig,init_policies_female_aig,init_contract_val,host_accrual_rate,init_host_val,init_hedge_budget,grop_ind_aig,gmwb_ind,gmwb_dth_ben_ind_aig,gmwb_exercise_yrs,init_gmwb_fund_val,init_gmwb_prem,init_gmwb_max_wdl_amt,gmwb_sfas133_req_prof_chg,init_withdrl_cumul,init_pfwd_curr_pol_yr,init_pfwd_entitlement,init_fund_val_fixed,init_fund_val_index0,init_fund_val_index1,init_fund_val_index2,init_fund_val_index3,init_fund_val_index4,init_rebal_pct_fixed,init_rebal_pct_index0,init_rebal_pct_index1,init_rebal_pct_index2,init_rebal_pct_index3,init_rebal_pct_index4,init_comm_subject_to_chargeback,init_stat_res_carvm,init_tax_res_carvm,preincome_exercise_yrs_aig,prop_female_owned_aig,prop_male_owned_aig,prop_joint_owned_aig,gender_aft_act_aig
Dev-0,Seg,Dev-0,Yes,AnnGen,ANN,LIPM,H,MS1PRt,1994USMgdbAlb,1994USMgdbAlb,50,50,Male,1,18750,0,0.15,1,0,0,0,0,15000,0,0,1,0,0,18750,18750,0,0,0,0,0,0,18750,0,0,0,0,0,1,0,0,0,0,0,0,0,999,0,1,0,Male
Dev-1,Seg,Dev-1,No,PRIM10,PRIM,LIP,H,SP1Cap,1994USMgdbAlb,1994USMgdbAlb,50,50,Male,1,18750,0,0.15,1,0,0,0,0,15000,0,0,1,0,0,18750,18750,0,0,0,0,0,0,18750,0,0,0,0,0,1,0,0,0,0,0,0,0,999,0,1,0,Male
Dev-2,Seg,Dev-2,No,PS,MSG,LIP,H,ML2Cap,1994USMgdbAlb,1994USMgdbAlb,55,55,Male,1,42000,0,0.336,1,0,0,0,0,33600,0,0,1,0,0,42000,42000,0,0,0,0,0,0,42000,0,0,0,0,0,1,0,0,0,0,0,0,0,999,0,1,0,Male
Dev-3,Seg,Dev-3,No,PS,MSG,LIP,H,SP1Cap,1994USMgdbAlb,1994USMgdbAlb,60,60,Male,1,71500,0,0.572,1,0,0,0,0,57200,0,0,1,0,0,71500,71500,0,0,0,0,0,0,71500,0,0,0,0,0,1,0,0,0,0,0,0,0,999,0,1,0,Male
Dev-4,Seg,Dev-4,No,PS,MSG,LIP,H,ML2Cap,1994USMgdbAlb,1994USMgdbAlb,65,65,Male,1,57750,0,0.462,1,0,0,0,0,46200,0,0,1,0,0,57750,57750,0,0,0,0,0,0,57750,0,0,0,0,0,1,0,0,0,0,0,0,0,999,0,1,0,Male
Dev-5,Seg,Dev-5,No,PS,MSG,LIPM,H,SP1Cap,1994USMgdbAlb,1994USMgdbAlb,70,70,Male,1,27500,0,0.22,1,0,0,0,0,22000,0,0,1,0,0,27500,27500,0,0,0,0,0,0,27500,0,0,0,0,0,1,0,0,0,0,0,0,0,999,0,1,0,Male
Dev-6,Seg,Dev-6,No,PS,MSG,LIPM,H,ML2Cap,1994USMgdbAlb,1994USMgdbAlb,75,75,Male,1,5500,0,0.044,1,0,0,0,0,4400,0,0,1,0,0,5500,5500,0,0,0,0,0,0,5500,0,0,0,0,0,1,0,0,0,0,0,0,0,999,0,1,0,Male
Dev-7,Seg,Dev-7,No,PS,MSG,LIPM,H,SP1Cap,1994USMgdbAlb,1994USMgdbAlb,45,45,Male,1,6250,0,0.05,1,0,0,0,0,5000,0,0,1,0,5,6250,6250,0,0,0,0,0,0,6250,0,0,0,0,0,1,0,0,0,0,0,0,0,999,0,1,0,Male
Dev-8,Seg,Dev-8,No,PS,MSG,LIPM,H,ML2Cap,1994USMgdbAlb,1994USMgdbAlb,50,50,Male,1,26250,0,0.21,1,0,0,0,0,21000,0,0,1,0,5,26250,26250,0,0,0,0,0,0,26250,0,0,0,0,0,1,0,0,0,0,0,0,0,999,0,1,0,Male
Dev-9,Seg,Dev-9,No,ANN0,ANN,LIPM,H,MS5PRt,1994USMgdbAlb,1994USMgdbAlb,60,60,Male,1,32500,0,0.26,1,0,0,0,0,26000,0,0,1,1,5,32500,32500,0,0,0,0,0,0,32500,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,1,0,Male
Dev-10,Seg,Dev-10,No,ANN0,ANN,LIPM,H,MS5PRt,1994USMgdbAlb,1994USMgdbAlb,70,70,Male,1,12500,0,0.1,1,0,0,0,0,10000,0,0,1,1,5,12500,12500,0,0,0,0,0,0,12500,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,1,0,Male
Dev-11,Seg,Dev-11,No,PS,MSG,LIP,H,SP1Cap,1994USMgdbAlb,1994USMgdbAlb,75,75,Joint,1,2500,0,0.02,1,0,0,0,0,2000,0,0,1,0,5,2500,2500,0,0,0,0,0,0,2500,0,0,0,0,0,1,0,0,0,0,0,0,0,999,0.29,0.36,0.35,Joint
Dev-12,Seg,Dev-12,No,PS,MSG,LIP,H,ML2Cap,1994USMgdbAlb,1994USMgdbAlb,45,45,Joint,1,8750,0,0.07,1,0,0,0,0,7000,0,0,1,0,10,8750,8750,0,0,0,0,0,0,8750,0,0,0,0,0,1,0,0,0,0,0,0,0,999,0.29,0.36,0.35,Joint
Dev-13,Seg,Dev-13,No,PS,MSG,LIP,H,SP1Cap,1994USMgdbAlb,1994USMgdbAlb,50,50,Joint,1,15000,0,0.12,1,0,0,0,0,12000,0,0,1,0,10,15000,15000,0,0,0,0,0,0,15000,0,0,0,0,0,1,0,0,0,0,0,0,0,999,0.29,0.36,0.35,Joint
Dev-14,Seg,Dev-14,No,PS,MSG,LIP,H,ML2Cap,1994USMgdbAlb,1994USMgdbAlb,55,55,Joint,1,21000,0,0.168,1,0,0,0,0,16800,0,0,1,0,10,21000,21000,0,0,0,0,0,0,21000,0,0,0,0,0,1,0,0,0,0,0,0,0,999,0.29,0.36,0.35,Joint
Dev-15,Seg,Dev-15,No,PS,MSG,LIP,H,SP1Cap,1994USMgdbAlb,1994USMgdbAlb,45,45,Joint,1,5000,0,0.04,1,0,0,0,0,4000,0,0,1,0,15,5000,5000,0,0,0,0,0,0,5000,0,0,0,0,0,1,0,0,0,0,0,0,0,999,0.29,0.36,0.35,Joint
Dev-16,Seg,Dev-16,No,PS,MSG,LIP,H,ML2Cap,1994USMgdbAlb,1994USMgdbAlb,45,45,Joint,1,5000,0,0.04,1,0,0,0,0,4000,0,0,1,0,999,5000,5000,0,0,0,0,0,0,5000,0,0,0,0,0,1,0,0,0,0,0,0,0,999,0.29,0.36,0.35,Joint
Dev-17,Seg,Dev-17,No,PS,MSG,LIP,H,SP1Cap,1994USMgdbAlb,1994USMgdbAlb,50,50,Joint,1,15000,0,0.12,1,0,0,0,0,12000,0,0,1,0,999,15000,15000,0,0,0,0,0,0,15000,0,0,0,0,0,1,0,0,0,0,0,0,0,999,0.29,0.36,0.35,Joint
Dev-18,Seg,Dev-18,No,PS,MSG,LIP,H,ML2Cap,1994USMgdbAlb,1994USMgdbAlb,55,55,Joint,1,21000,0,0.168,1,0,0,0,0,16800,0,0,1,0,999,21000,21000,0,0,0,0,0,0,21000,0,0,0,0,0,1,0,0,0,0,0,0,0,999,0.29,0.36,0.35,Joint
Dev-19,Seg,Dev-19,No,PS,MSG,LIPM,H,SP1Cap,1994USMgdbAlb,1994USMgdbAlb,60,60,Joint,1,26000,0,0.208,1,0,0,0,0,20800,0,0,1,0,999,26000,26000,0,0,0,0,0,0,26000,0,0,0,0,0,1,0,0,0,0,0,0,0,999,0.29,0.36,0.35,Joint
Dev-20,Seg,Dev-20,No,PS,MSG,LIPM,H,ML2Cap,1994USMgdbAlb,1994USMgdbAlb,65,65,Joint,1,21000,0,0.168,1,0,0,0,0,16800,0,0,1,0,999,21000,21000,0,0,0,0,0,0,21000,0,0,0,0,0,1,0,0,0,0,0,0,0,999,0.29,0.36,0.35,Joint
Dev-21,Seg,Dev-21,No,PS,MSG,LIPM,H,SP1Cap,1994USMgdbAlb,1994USMgdbAlb,70,70,Joint,1,10000,0,0.08,1,0,0,0,0,8000,0,0,1,0,999,10000,10000,0,0,0,0,0,0,10000,0,0,0,0,0,1,0,0,0,0,0,0,0,999,0.29,0.36,0.35,Joint
Dev-22,Seg,Dev-22,No,PS,MSG,LIPM,H,ML2Cap,1994USMgdbAlb,1994USMgdbAlb,75,75,Joint,1,2000,0,0.016,1,0,0,0,0,1600,0,0,1,0,999,2000,2000,0,0,0,0,0,0,2000,0,0,0,0,0,1,0,0,0,0,0,0,0,999,0.29,0.36,0.35,Joint
Dev-23,Seg,Dev-23,No,PS,MSG,LIPM,H,SP1Cap,1994USMgdbAlb,1994USMgdbAlb,50,50,Joint,0,18750,0,0.15,1,0,0,0,0,15000,0,0,1,0,0,18750,18750,0,0,0,0,0,0,18750,0,0,0,0,0,1,0,0,0,0,0,0,0,999,0.29,0.36,0.35,Joint
Dev-24,Seg,Dev-24,No,PS,MSG,LIPM,H,ML2Cap,1994USMgdbAlb,1994USMgdbAlb,55,55,Joint,0,42000,0,0.336,1,0,0,0,0,33600,0,0,1,0,0,42000,42000,0,0,0,0,0,0,42000,0,0,0,0,0,1,0,0,0,0,0,0,0,999,0.29,0.36,0.35,Joint
Dev-25,Seg,Dev-25,No,PS,MSG,LIPM,H,SP1Cap,1994USMgdbAlb,1994USMgdbAlb,60,60,Joint,0,71500,0,0.572,1,0,0,0,0,57200,0,0,1,0,0,71500,71500,0,0,0,0,0,0,71500,0,0,0,0,0,1,0,0,0,0,0,0,0,999,0.29,0.36,0.35,Joint
Dev-26,Seg,Dev-26,No,PS,MSG,LIPM,H,ML2Cap,1994USMgdbAlb,1994USMgdbAlb,65,65,Joint,0,57750,0,0.462,1,0,0,0,0,46200,0,0,1,0,0,57750,57750,0,0,0,0,0,0,57750,0,0,0,0,0,1,0,0,0,0,0,0,0,999,0.29,0.36,0.35,Joint
Dev-27,Seg,Dev-27,No,ANN0,ANN,LIPM,H,MS5PRt,1994USMgdbAlb,1994USMgdbAlb,75,75,Joint,0,5500,0,0.044,1,0,0,0,0,4400,0,0,1,1,0,5500,5500,0,0,0,0,0,0,5500,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0.29,0.36,0.35,Joint
Dev-28,Seg,Dev-28,No,ANN0,ANN,LIPM,H,MS5PRt,1994USMgdbAlb,1994USMgdbAlb,50,50,Joint,0,26250,0,0.21,1,0,0,0,0,21000,0,0,1,1,5,26250,26250,0,0,0,0,0,0,26250,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0.29,0.36,0.35,Joint
