group,seg_id,mp_id,use_mp,plan_code,broker_aig,gmwb_type_aig,gmwb_option_aig,crediting_type_aig,hiloband_aig,stat_valn_code,tax_valn_code,issue_age_male_aig,issue_age_female_aig,gender_mp,male_sex_pct,single_prem,reins_pct,init_policies,init_policies_joint_aig,init_policies_male_aig,init_policies_female_aig,init_contract_val,host_accrual_rate,init_host_val,init_hedge_budget,grop_ind_aig,gmwb_ind,gmwb_dth_ben_ind_aig,gmwb_exercise_yrs,init_gmwb_fund_val,init_gmwb_prem,init_gmwb_max_wdl_amt,gmwb_sfas133_req_prof_chg,init_withdrl_cumul,init_pfwd_curr_pol_yr,init_pfwd_entitlement,init_fund_val_fixed,init_fund_val_index0,init_fund_val_index1,init_fund_val_index2,init_fund_val_index3,init_fund_val_index4,init_rebal_pct_fixed,init_rebal_pct_index0,init_rebal_pct_index1,init_rebal_pct_index2,init_rebal_pct_index3,init_rebal_pct_index4,init_comm_subject_to_chargeback,init_stat_res_carvm,init_tax_res_carvm,preincome_exercise_yrs_aig,prop_female_owned_aig,prop_male_owned_aig,prop_joint_owned_aig,gender_aft_act_aig
Dev-1,Seg,Dev-1,Yes,PIPREM,PNC,LIP,L,SP1Cap,H,1994USMgdbAlb,1994USMgdbAlb,52,50,Joint,1,100000,0,1,1,0,0,0,0,87.84,0,0,1,0,5,100000,100000,0,0,0,0,0,0,100000,0,0,0,0,0,1,0,0,0,0,0,0,0,999,0,0,1,Joint
Dev-2,Seg,Dev-2,Yes,PIP,BANK,BASE,B,PM2Cap,H,1994USMgdbAlb,1994USMgdbAlb,65,65,Blended,0.5,80000,0,1,1,0,0,0,0,4553.08,0,0,0,0,0,80000,80000,0,0,0,0,0,0,80000,0,0,0,0,0,1,0,0,0,0,0,0,0,999,1,0,0,Blended
Dev-3,Seg,Dev-3,Yes,PI,BANK,BASE,B,SP1Cap,H,1994USMgdbAlb,1994USMgdbAlb,55,55,Male,1,100000,0,1,1,0,0,0,0,169.624,0,1,0,0,0,100000,100000,0,0,0,0,0,0,100000,0,0,0,0,0,1,0,0,0,0,0,0,0,999,0,1,0,Male
Dev-4,Seg,Dev-4,Yes,ADV7,BANK,LIP,L,ML1Spd,H,1994USMgdbAlb,1994USMgdbAlb,62,60,Joint,1,120000,0,1,1,0,0,0,0,188.808,0,0,1,0,10,120000,120000,0,0,0,0,0,0,120000,0,0,0,0,0,1,0,0,0,0,0,0,0,999,0,0,1,Joint
Dev-5,Seg,Dev-5,Yes,PIP,BANK,LIP,L,ML1Cap,H,1994USMgdbAlb,1994USMgdbAlb,72,70,Joint,1,120000,0,1,1,0,0,0,0,3608.384,0,0,1,0,15,120000,120000,0,0,0,0,0,0,120000,0,0,0,0,0,1,0,0,0,0,0,0,0,999,0,0,1,Joint
Dev-6,Seg,Dev-6,Yes,PS,MSG2019,LIP,L,ML1PRt,H,1994USMgdbAlb,1994USMgdbAlb,80,80,Female,0,80000,0,1,1,0,0,0,0,4991.872,0,0,1,0,999,80000,80000,0,0,0,0,0,0,80000,0,0,0,0,0,1,0,0,0,0,0,0,0,999,1,0,0,Female
Dev-7,Seg,Dev-7,Yes,WF5,WF,LIP,L,FX1Fix,H,1994USMgdbAlb,1994USMgdbAlb,60,60,Male,1,100000,0,1,1,0,0,0,0,5473.664,0,0,1,0,5,100000,100000,0,0,0,0,0,100000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,999,0,1,0,Male
Dev-8,Seg,Dev-8,Yes,PS,MSG2019,LIPM,L,SP1Cap,H,1994USMgdbAlb,1994USMgdbAlb,50,50,Male,1,100000,0,1,1,0,0,0,0,12249.632,0,0,1,0,15,100000,100000,0,0,0,0,0,0,100000,0,0,0,0,0,1,0,0,0,0,0,0,0,999,0,1,0,Male
Dev-9,Seg,Dev-9,Yes,NYIA,USL,LIP,L,SP1CaM,H,1994USMgdbAlb,1994USMgdbAlb,52,50,Joint,1,100000,0,1,1,0,0,0,0,87.84,0,0,1,0,5,100000,100000,0,0,0,0,0,0,100000,0,0,0,0,0,1,0,0,0,0,0,0,0,999,0,0,1,Joint
Dev-14,Seg,Dev-14,Yes,P7P,IMO,LIP,L,ML1PRt,H,1994USMgdbAlb,1994USMgdbAlb,65,65,Male,0,100000,0,1,1,0,0,0,0,6873.435,0,0,1,1,5,100000,100000,0,0,0,0,0,0,100000,0,0,0,0,0,1,0,0,0,0,0,0,0,999,1,0,0,Male
Dev-15,Seg,Dev-15,Yes,PI5P,BANK,BASE,B,SP5CaP,H,1994USMgdbAlb,1994USMgdbAlb,50,50,Male,1,100000,0,1,1,0,0,0,0,4200,0,0,0,0,0,100000,100000,0,0,0,0,0,0,100000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,Male
