Opt Type,,secure_rate_cliquet,secure_rate_cliquet,secure_rate_cliquet,secure_rate_cliquet,secure_rate_cliquet,secure_rate_cliquet,secure_rate_cliquet,secure_rate_cliquet,secure_rate_cliquet,secure_rate_cliquet,secure_rate_cliquet,secure_rate_cliquet,secure_rate_cliquet,secure_rate_cliquet,secure_rate_cliquet,secure_rate_cliquet,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,secure_rate_gmab,gmab,gmab,gmab,gmab,gmab,gmab,gmab,gmab,gmab,gmab,gmab,gmab,gmab,gmab,gmab,gmab,gmab,gmab,gmab,gmab,gmab,gmab,gmab,gmab,gmab,gmab,gmab,gmab,gmab,gmab
Date,,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407,20260407
Index,,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP,SP
SC period,,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Sprd,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03
Strike,,0.01,0.02,0.04,0.08,0.12,0.16,0.24,0.4,0.01,0.02,0.04,0.08,0.12,0.16,0.24,0.4,0.01,0.02,0.04,0.08,0.12,0.16,0.24,0.4,0.01,0.02,0.04,0.08,0.12,0.16,0.24,0.4,0.01,0.02,0.04,0.08,0.12,0.16,0.24,0.4,0.01,0.02,0.04,0.08,0.12,0.16,0.24,0.4,0.01,0.02,0.04,0.08,0.12,0.16,0.24,0.4,0.01,0.02,0.04,0.08,0.12,0.16,0.24,0.4,0.01,0.02,0.04,0.06,0.08,0.01,0.02,0.04,0.06,0.08,0.01,0.02,0.04,0.06,0.08,0.01,0.02,0.04,0.06,0.08,0.01,0.02,0.04,0.06,0.08,0.01,0.02,0.04,0.06,0.08
Scen,Month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0.030120008,0.060486373,0.12170331,0.24401425,0.36164916,0.4686983,0.6286044,0.7176682,0.039427273,0.07976496,0.16284993,0.33573747,0.51050365,0.6767932,0.939605,1.0984809,0.04347424,0.06501794,0.12324209,0.24555303,0.36318794,0.47023708,0.63014317,0.7192069,0.08339734,0.08717918,0.13094097,0.24709181,0.36472672,0.47177586,0.631682,0.72074574,0.12509589,0.12519987,0.14837892,0.254524,0.36652723,0.47331464,0.63322073,0.7222845,0.055558845,0.08372498,0.16397946,0.33624724,0.51101345,0.677303,0.9401148,1.0989907,0.107809,0.11167581,0.17093663,0.33824608,0.5115232,0.67781276,0.94062454,1.0995005,0.1617135,0.16177697,0.19057281,0.34213215,0.514685,0.6790968,0.9411718,1.1000477,0.01335423,0.004531563,0.00153878,0.00153878,0.00153878,0.053277332,0.026692802,0.009237659,0.00550898,0.003077564,0.09497588,0.0647135,0.026675612,0.014238448,0.010509751,0.016131572,0.00396002,0.001129516,0.000509779,0.000509779,0.06838173,0.031910848,0.0080867,0.003762107,0.002508605,0.12228622,0.08201202,0.027722873,0.01268779,0.006394698
1,1,0.029661708,0.059483606,0.11933017,0.23765153,0.34960303,0.4495997,0.5908512,0.67675877,0.03914426,0.07910371,0.16110265,0.33029023,0.49909666,0.65736926,0.89744985,1.0508868,0.043631405,0.06416604,0.12097838,0.23920953,0.35116103,0.45115772,0.5924092,0.6783168,0.08408828,0.087462,0.12888524,0.24119715,0.35271904,0.45271572,0.5939672,0.6798748,0.12613241,0.12615465,0.14733155,0.24876304,0.3553236,0.4547328,0.59576005,0.6816676,0.055914596,0.08328651,0.16230242,0.3308096,0.49961603,0.6578886,0.8979692,1.0514061,0.10891578,0.11234901,0.16966856,0.3329571,0.50031376,0.65844643,0.8984886,1.0519254,0.16337374,0.16341832,0.1903225,0.33709306,0.50354064,0.6599874,0.89948875,1.0529257,0.013969698,0.004682429,0.001648201,0.001558009,0.001558009,0.054426573,0.027978392,0.009555065,0.005920191,0.003545634,0.096470706,0.066671036,0.02800138,0.014746377,0.011111516,0.016770337,0.004182804,0.001199773,0.000545827,0.000519355,0.06977152,0.033245306,0.00856591,0.003908624,0.00266685,0.12422948,0.084314615,0.029219847,0.013474529,0.006802833
1,2,0.030065015,0.060324755,0.12116129,0.24199796,0.35726884,0.46136484,0.61244786,0.7053078,0.039678067,0.08021259,0.16350311,0.3359308,0.50899,0.6725308,0.9252785,1.0879496,0.044064503,0.0651162,0.12284336,0.24362816,0.35889903,0.46299502,0.61407804,0.70693797,0.084794894,0.08833977,0.13093448,0.24559994,0.36052924,0.46462524,0.61570823,0.70856816,0.12719224,0.12725984,0.14934199,0.25325286,0.3630576,0.466454,0.6173385,0.7101984,0.05658092,0.08445656,0.16472937,0.33647883,0.50953805,0.67307884,0.92582655,1.0884976,0.11005899,0.11369425,0.17218444,0.33865607,0.5102281,0.67362684,0.92637455,1.0890458,0.16508868,0.16514273,0.19295192,0.34277886,0.5135312,0.6751223,0.9273054,1.0899765,0.013999488,0.004791446,0.001682068,0.001630197,0.001630197,0.054729875,0.028015014,0.009773187,0.005954436,0.00360198,0.09712724,0.066935085,0.02818069,0.015073649,0.01125491,0.016902855,0.004243974,0.001226259,0.000558461,0.00054804,0.070380926,0.033481658,0.008681321,0.004037164,0.002725263,0.12541062,0.084930144,0.02944881,0.013640445,0.006848081
1,3,0.030424576,0.06104891,0.12261722,0.24480246,0.36095634,0.46508136,0.61386585,0.6988028,0.040096376,0.08106142,0.1652341,0.33937144,0.5136733,0.6774501,0.927503,1.0800059,0.044325784,0.06572432,0.12418337,0.24636862,0.3625225,0.46664754,0.615432,0.700369,0.085230745,0.088868886,0.13215545,0.2481276,0.36408865,0.46821368,0.6169982,0.7019352,0.12784609,0.12790765,0.15043071,0.25580072,0.36633533,0.46977985,0.6185643,0.7035013,0.056938488,0.08523671,0.16642989,0.33989793,0.5141998,0.6779766,0.9280295,1.0805323,0.11072101,0.11442298,0.17377844,0.34203154,0.5148152,0.6785031,0.92855597,1.0810589,0.16608147,0.16613597,0.19443111,0.34603953,0.51811236,0.6800165,0.92937624,1.0818791,0.013901209,0.004675412,0.001566159,0.001566159,0.001566159,0.05480617,0.027819974,0.009538233,0.005818945,0.003325131,0.09742151,0.06685874,0.027813494,0.014717559,0.010998271,0.016842114,0.004175289,0.001195785,0.00052648,0.00052648,0.07062463,0.03336155,0.008544344,0.003931934,0.002660088,0.1259851,0.085074544,0.029197002,0.013436958,0.006668089
