group,seg_id,mp_id,use_mp,plan_code,broker_aig,gmwb_type_aig,gmwb_option_aig,crediting_type_aig,hiloband_aig,stat_valn_code,tax_valn_code,issue_age_male_aig,issue_age_female_aig,gender_mp,male_sex_pct,single_prem,reins_pct,init_policies,init_policies_joint_aig,init_policies_male_aig,init_policies_female_aig,init_contract_val,host_accrual_rate,init_host_val,init_hedge_budget,grop_ind_aig,dth_ben_rop_ind_aig,gmwb_ind,gmwb_exercise_yrs,init_gmwb_fund_val,init_gmwb_prem,init_gmwb_max_wdl_amt,gmwb_sfas133_req_prof_chg,init_withdrl_cumul,init_pfwd_curr_pol_yr,init_pfwd_entitlement,init_fund_val_fixed,init_fund_val_index0,init_fund_val_index1,init_fund_val_index2,init_fund_val_index3,init_fund_val_index4,init_rebal_pct_fixed,init_rebal_pct_index0,init_rebal_pct_index1,init_rebal_pct_index2,init_rebal_pct_index3,init_rebal_pct_index4,init_comm_subject_to_chargeback,init_stat_res_carvm,init_tax_res_carvm,preincome_exercise_yrs_aig,prop_female_owned_aig,prop_male_owned_aig,prop_joint_owned_aig,gender_aft_act_aig,inner_min_wdl_val_aig,inner_mwv_base_aig,init_cash_val_aig,inner_par_up,inner_cap_rate,inner_trigger_rate,inner_fixed_rate,init_hedge_amt,init_hedge_opt_cost,inner_renewal_budget,inner_renewal_budget_2nd_strat,init_strat_base,init_interim_value,single_prem_prop_wdl_aig,inner_buffer_rate,inner_opt_cost_beg_term,index_term_beg_index_val,inner_strat_return,inner_index_val,knockout_status_ind,knockout_mth,knockout_cost_interim_val_init,perf_lock_status_ind,combo_strat_renew_status,renew_into_2nd_strat_status,init_cash_val_no_mva_aig,inner_fund_val_boy,inner_interim_val_beg_term,init_perf_lock_hwm,inner_buffer_cap_2nd_strat,inner_dual_dir_cap_2nd_strat,pv_claims_stoch_init_crbg
Dev-1,Seg,Dev-1,Yes,RILA_1,BANK,BASE,B,SP1B10Cp,H,1994USMgdbAlb,1994USMgdbAlb,52,50,Joint,1,100000,0,1,1,0,0,0,0,87.84,0,0,0,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Joint,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0
Dev-2,Seg,Dev-2,Yes,RILA_1,BANK,BASE,B,SP1B10Tri,H,1994USMgdbAlb,1994USMgdbAlb,52,50,Joint,1,100000,0,1,1,0,0,0,0,87.84,0,0,1,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Joint,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0
Dev-3,Seg,Dev-3,Yes,RILA_1,BANK,BASE,B,SP1B10DDCp,H,1994USMgdbAlb,1994USMgdbAlb,52,50,Joint,1,100000,0,1,1,0,0,0,0,87.84,0,0,1,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Joint,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0
Dev-4,Seg,Dev-4,Yes,RILA_1,BANK,BASE,B,FX1Fix,H,1994USMgdbAlb,1994USMgdbAlb,52,50,Joint,1,100000,0,1,1,0,0,0,0,87.84,0,0,1,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Joint,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0
Dev-5,Seg,Dev-5,Yes,RILA_1,BANK,BASE,B,SP6B10Cp,H,1994USMgdbAlb,1994USMgdbAlb,52,50,Joint,1,100000,0,1,1,0,0,0,0,87.84,0,0,1,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Joint,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0
Dev-6,Seg,Dev-6,Yes,RILA_1,BANK,BASE,B,SP6B10Pr,H,1994USMgdbAlb,1994USMgdbAlb,52,50,Joint,1,100000,0,1,1,0,0,0,0,87.84,0,0,1,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Joint,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0
Dev-7,Seg,Dev-7,Yes,RILA_1,BANK,BASE,B,SP6B10DDCp,H,1994USMgdbAlb,1994USMgdbAlb,52,50,Joint,1,100000,0,1,1,0,0,0,0,87.84,0,0,1,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Joint,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0
Dev-8,Seg,Dev-8,Yes,RILA_1,BANK,BASE,B,ND1B10Cp,H,1994USMgdbAlb,1994USMgdbAlb,52,50,Joint,1,100000,0,1,1,0,0,0,0,87.84,0,0,1,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Joint,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0
Dev-9,Seg,Dev-9,Yes,RILA_1,BANK,BASE,B,SP6B10ScCp,H,1994USMgdbAlb,1994USMgdbAlb,52,50,Joint,1,100000,0,1,1,0,0,0,0,87.84,0,0,1,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Joint,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0
Dev-10,Seg,Dev-10,Yes,RILA_1,BANK,BASE,B,SP6K50DKO,H,1994USMgdbAlb,1994USMgdbAlb,52,50,Joint,1,100000,0,1,1,0,0,0,0,87.84,0,0,1,0,0,0,0,0,0,0,0,0,0,100000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Joint,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999,0,0,0,0,0,0,0,0,0,0,0
